#,teamName,goldMedals,silverMedals,bronzeMedals,total
1,Digi' United,1,3,4,13
2,EXCEL-arators,8,1,3,29
3,Purple Chameleon,3,5,3,22
4,Shake & Bake,1,4,3,14
